Name,Is featured?,Short description,In stock?,Low stock amount,Sold individually?,Weight (kg),Allow customer reviews?,Sale price,Regular price,Categories,Images
Frijoles Refritos La Rosa Molido 400 Gr ,1,Frijoles Refritos La Rosa Molido 400 Gr ,1,3,1,2,1,28.90,28.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Refritos_La_Rosa_Molido_400_Gr__2P3UPLON6.png
Frijol Negro Goya Premium 29 Oz ,1,Frijol Negro Goya Premium 29 Oz ,1,3,1,2,1,73.90,73.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijol_Negro_Goya_Premium_29_Oz__6nQ2zB_CE.png
Frijol Rosa Goya Guisados 15 Oz ,1,Frijol Rosa Goya Guisados 15 Oz ,1,3,1,2,1,54.90,54.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijol_Rosa_Goya_Guisados_15_Oz__e47EPWvGBJ.png
Frijol Rosado Don Chano Premium 2Lb ,1,Frijol Rosado Don Chano Premium 2Lb ,1,3,1,2,1,49.90,49.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijol_Rosado_Don_Chano_Premium_2Lb__F6gDfrVr_.png
Frijol Rojo Don Chano Clasificado 4 Lb ,1,Frijol Rojo Don Chano Clasificado 4 Lb ,1,3,1,2,1,75.12,75.123.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijol_Rojo_Don_Chano_Clasificado_4_Lb__56ka2oDnBu.png
Frijol Rosado Don Chano Premium 1400 Gr ,1,Frijol Rosado Don Chano Premium 1400 Gr ,1,3,1,2,1,66.90,66.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijol_Rosado_Don_Chano_Premium_1400_Gr__20Rgeqs75.png
Frijol Rojo Ahorro Max 1400Gr ,1,Frijol Rojo Ahorro Max 1400Gr ,1,3,1,2,1,63.90,63.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijol_Rojo_Ahorro_Max_1400Gr__mOyXD7d1R.png
Frijoles Rojo Rojitos Seda 4 Lb ,1,Frijoles Rojo Rojitos Seda 4 Lb ,1,3,1,2,1,97.90,97.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Rojo_Rojitos_Seda_4_Lb__NWgUoCK7A.png
Frijoles Rojo Rojitos Seda Economico 3 Lb ,1,Frijoles Rojo Rojitos Seda Economico 3 Lb ,1,3,1,2,1,58.90,58.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Rojo_Rojitos_Seda_Economico_3_Lb__OQOeVJQKQ.png
Frijoles Rojo Rojitos Seda 2 Lb ,1,Frijoles Rojo Rojitos Seda 2 Lb ,1,3,1,2,1,48.90,48.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Rojo_Rojitos_Seda_2_Lb__8mDbYG5C4.png
Frijoles Refrito La Chula Rojo Volteado 1000 Gr ,1,Frijoles Refrito La Chula Rojo Volteado 1000 Gr ,1,3,1,2,1,35.12,35.123.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Refrito_La_Chula_Rojo_Volteado_1000_Gr__nD8tBhUT_.png
Frijoles Refrito La Chula Rojos Volteados 460 Gr ,1,Frijoles Refrito La Chula Rojos Volteados 460 Gr ,1,3,1,2,1,19.12,19.123.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Refrito_La_Chula_Rojos_Volteados_460_Gr__gt_2VUjVgI.png
Frijoles Don Pablo 1135 Gr ,1,Frijoles Don Pablo 1135 Gr ,1,3,1,2,1,58.90,58.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Don_Pablo_1135_Gr__TzvegdLXz.png
Frijoles Super Economico 1400 Gr ,1,Frijoles Super Economico 1400 Gr ,1,3,1,2,1,69.90,69.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Super_Economico_1400_Gr__eQZ2e7ytji.png
Chicaharos Goya Verdes Partidos 14 Oz ,1,Chicaharos Goya Verdes Partidos 14 Oz ,1,3,1,2,1,38.90,38.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Chicaharos_Goya_Verdes_Partidos_14_Oz__f-I0TxXOO.png
Frijoles Rojo Don Pablo 454 Gr ,1,Frijoles Rojo Don Pablo 454 Gr ,1,3,1,2,1,24.90,24.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Rojo_Don_Pablo_454_Gr__jGRfphvD9.png
