Name,Is featured?,Short description,In stock?,Low stock amount,Sold individually?,Weight (kg),Allow customer reviews?,Sale price,Regular price,Categories,Images
Maiz Dulce Tonos Lata 185 Gr ,0,Maiz Dulce Tonos Lata 185 Gr ,1,3,1,2,1,26.90,26.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Maiz_Dulce_Tonos_Lata_185_Gr__h-e-WXbvm.png
Chile Jalapeno Clemente Jacques En Escabeche Rajas 105 Gr ,0,Chile Jalapeno Clemente Jacques En Escabeche Rajas 105 Gr ,1,3,1,2,1,11.90,11.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Chile_Jalapeno_Clemente_Jacques_En_Escabeche_Rajas_105_Gr__v-ElEZi23.png
Ensalada De Verduras Clemente Jacques 410 Gr ,0,Ensalada De Verduras Clemente Jacques 410 Gr ,1,3,1,2,1,33.90,33.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Ensalada_De_Verduras_Clemente_Jacques_410_Gr__bJAiH8Dt3.png
Chicharo Clemente Jacques 420 Gr ,0,Chicharo Clemente Jacques 420 Gr ,1,3,1,2,1,28.90,28.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Chicharo_Clemente_Jacques_420_Gr__DxIaqDsvl.png
Chicharo Clemente Jacques 220 Gr ,0,Chicharo Clemente Jacques 220 Gr ,1,3,1,2,1,21.90,21.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Chicharo_Clemente_Jacques_220_Gr__EvVHzwLQ5k.png
Chile Jalapeno Clemente Jacques En Escabeche Nachos 220 Gr ,0,Chile Jalapeno Clemente Jacques En Escabeche Nachos 220 Gr ,1,3,1,2,1,21.90,21.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Chile_Jalapeno_Clemente_Jacques_En_Escabeche_Nachos_220_Gr__3QgsOt4ZV.png
Leche De Coco Isleno 13.5 Oz ,0,Leche De Coco Isleno 13.5 Oz ,1,3,1,2,1,31.90,31.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Leche_De_Coco_Isleno_13.5_Oz__fKwJjNRwi.png
Champinones Killios Rebanados 400 Gr ,0,Champinones Killios Rebanados 400 Gr ,1,3,1,2,1,47.90,47.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Champinones_Killios_Rebanados_400_Gr__XAtchk_5Lj.png
Atun Pacifico Azul En Aceite Ahumado 100 Gr ,0,Atun Pacifico Azul En Aceite Ahumado 100 Gr ,1,3,1,2,1,55.90,55.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Atun_Pacifico_Azul_En_Aceite_Ahumado_100_Gr__79l2N37Ns.png
Jalapeno La Costena En Escabeche Nacho 800 Gr ,0,Jalapeno La Costena En Escabeche Nacho 800 Gr ,1,3,1,2,1,67.90,67.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Jalapeno_La_Costena_En_Escabeche_Nacho_800_Gr__4kojkoIUq.png
Pure De Papa Sasson Instantaneo 200 Gr ,0,Pure De Papa Sasson Instantaneo 200 Gr ,1,3,1,2,1,46.90,46.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Pure_De_Papa_Sasson_Instantaneo_200_Gr__jX1woDzaG.png
Sardina Pacifico Azul Dulce 160 Gr ,0,Sardina Pacifico Azul Dulce 160 Gr ,1,3,1,2,1,21.90,21.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Sardina_Pacifico_Azul_Dulce_160_Gr__crbxoVtdnt.png
Aceituna Goya Manzanilla 6.75 Oz ,0,Aceituna Goya Manzanilla 6.75 Oz ,1,3,1,2,1,51.90,51.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Aceituna_Goya_Manzanilla_6.75_Oz__jerbuuECm.png
Sardinas La Sirena Con Vegetales 5.5 Gr ,0,Sardinas La Sirena Con Vegetales 5.5 Gr ,1,3,1,2,1,27.90,27.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Sardinas_La_Sirena_Con_Vegetales_5.5_Gr__OlEMs6ySla.png
Corazón De Palmito Vigo 14 Oz ,0,Corazón De Palmito Vigo 14 Oz ,1,3,1,2,1,85.90,85.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Coraz_n_De_Palmito_Vigo_14_Oz__vm7GiNtgK.png
Sardina Roland En Salsa De Tomate 7.5 Oz ,0,Sardina Roland En Salsa De Tomate 7.5 Oz ,1,3,1,2,1,42.90,42.903.3,Despensa > enlatados-y-empacados,https://ik.imagekit.io/wlqrwe5vf6p/enlatados-y-empacados/Sardina_Roland_En_Salsa_De_Tomate_7.5_Oz__Y7y81abNL.png
